,Bowler_id,econ,wickets,deathecon,deathoverwickets,Bowling_type
300,435,10.727,7,13.0,1,Right-arm fast-medium
301,436,10.531,2,10.0,0,Right-arm medium-fast
302,437,10.071,3,16.0,1,Right-arm fast-medium
303,438,10.333,1,8.0,0,Right-arm medium
304,439,7.308,7,8.71,2,Right-arm fast-medium
305,440,12.0,0,12.0,0,Right-arm medium
306,441,8.16,1,6.0,1,Left-arm medium
307,442,11.0,0,11.0,0,Right-arm medium
308,443,13.0,0,13.0,0,Right-arm offbreak
309,444,10.105,0,10.105,0,Slow left-arm orthodox
310,445,9.231,1,9.231,0,Right-arm medium
311,446,6.963,6,10.364,6,Slow left-arm orthodox
312,447,18.0,0,18.0,0,Right-arm medium
313,448,4.286,1,4.286,0,Slow left-arm orthodox
314,449,11.0,0,11.0,0,Right-arm fast
315,450,10.703,0,13.364,0,Right-arm fast-medium
316,451,7.092,9,10.455,2,Legbreak
317,452,6.589,2,6.589,0,Left-arm medium
318,453,7.85,2,8.667,0,Right-arm medium
319,454,14.64,0,16.5,0,Right-arm medium
320,455,19.0,0,19.0,0,Left-arm medium
321,456,10.235,3,12.72,1,Right-arm fast-medium
322,457,6.197,3,5.4,1,Left-arm fast-medium
323,458,7.507,11,10.526,8,Right-arm fast-medium
324,459,10.25,1,12.5,1,Left-arm fast-medium
325,460,6.559,19,7.354,10,Right-arm fast
326,461,9.12,1,11.0,0,Slow left-arm chinaman
327,462,7.622,7,6.0,3,Slow left-arm chinaman
328,463,9.188,3,14.0,1,Right-arm fast-medium
329,464,7.395,3,6.632,2,Right-arm medium
330,465,6.909,0,6.909,0,
